week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
4,2014,9,16,4,1770,TB,PIT,0,NFC-SOUTH,AFC-NORTH,13,1,10,0,left tackle,19,Regular
4,2014,9,16,4,1716,TB,PIT,0,NFC-SOUTH,AFC-NORTH,59,1,10,1,deep left,0,Regular
4,2014,9,16,4,1709,TB,PIT,0,NFC-SOUTH,AFC-NORTH,59,2,10,1,short right,5,Regular
4,2014,9,16,4,1673,TB,PIT,0,NFC-SOUTH,AFC-NORTH,64,3,5,1,deep middle,31,Regular
4,2014,9,16,4,1649,TB,PIT,0,NFC-SOUTH,AFC-NORTH,98,1,10,0,left guard,1,Regular
4,2014,9,16,4,1610,TB,PIT,0,NFC-SOUTH,AFC-NORTH,50,2,9,1,short right,0,Regular
4,2014,9,16,4,1605,TB,PIT,0,NFC-SOUTH,AFC-NORTH,50,3,9,1,short middle,0,Regular
4,2014,9,17,4,1597,PIT,TB,1,AFC-NORTH,NFC-SOUTH,13,1,10,0,left tackle,-7,Regular
4,2014,9,17,4,1558,PIT,TB,1,AFC-NORTH,NFC-SOUTH,5,2,17,1,short middle,19,Regular
4,2014,9,17,4,1522,PIT,TB,1,AFC-NORTH,NFC-SOUTH,26,1,10,1,deep right,0,Regular
4,2014,9,17,4,1514,PIT,TB,1,AFC-NORTH,NFC-SOUTH,26,2,10,0,center,-3,Regular
4,2014,9,17,4,1471,PIT,TB,1,AFC-NORTH,NFC-SOUTH,22,3,13,1,short left,14,Regular
4,2014,9,17,4,1403,PIT,TB,1,AFC-NORTH,NFC-SOUTH,38,1,10,1,short left,13,Regular
4,2014,9,17,4,1383,PIT,TB,1,AFC-NORTH,NFC-SOUTH,61,1,10,0,center,-1,Regular
4,2014,9,17,4,1346,PIT,TB,1,AFC-NORTH,NFC-SOUTH,60,2,11,1,short left,0,Regular
4,2014,9,17,4,1342,PIT,TB,1,AFC-NORTH,NFC-SOUTH,60,3,11,1,deep left,0,Regular
4,2014,9,18,4,1326,TB,PIT,0,NFC-SOUTH,AFC-NORTH,18,1,10,1,short left,5,Regular
4,2014,9,18,4,1283,TB,PIT,0,NFC-SOUTH,AFC-NORTH,24,2,5,1,short left,0,Regular
4,2014,9,18,4,1278,TB,PIT,0,NFC-SOUTH,AFC-NORTH,24,3,5,1,short right,22,Regular
4,2014,9,18,4,1238,TB,PIT,0,NFC-SOUTH,AFC-NORTH,57,1,10,0,center,-3,Regular
4,2014,9,18,4,1193,TB,PIT,0,NFC-SOUTH,AFC-NORTH,33,2,23,1,deep right,21,Regular
4,2014,9,18,4,1149,TB,PIT,0,NFC-SOUTH,AFC-NORTH,71,1,10,1,short left,10,Regular
4,2014,9,18,4,1104,TB,PIT,0,NFC-SOUTH,AFC-NORTH,82,1,10,1,short right,8,Regular
4,2014,9,18,4,1069,TB,PIT,0,NFC-SOUTH,AFC-NORTH,91,2,2,0,left tackle,3,Regular
4,2014,9,18,4,1023,TB,PIT,0,NFC-SOUTH,AFC-NORTH,94,1,10,1,short left,0,Regular
4,2014,9,18,4,1018,TB,PIT,0,NFC-SOUTH,AFC-NORTH,94,2,10,1,short middle,0,Regular
4,2014,9,18,4,1013,TB,PIT,0,NFC-SOUTH,AFC-NORTH,94,3,10,1,short left,0,Regular
4,2014,9,18,4,1009,TB,PIT,0,NFC-SOUTH,AFC-NORTH,94,4,10,1,short middle,0,Regular
4,2014,9,19,4,1004,PIT,TB,1,AFC-NORTH,NFC-SOUTH,6,1,10,0,center,2,Regular
4,2014,9,19,4,1000,PIT,TB,1,AFC-NORTH,NFC-SOUTH,3,2,13,1,short right,8,Regular
4,2014,9,19,4,995,PIT,TB,1,AFC-NORTH,NFC-SOUTH,11,3,5,0,right guard,-2,Regular
4,2014,9,20,4,940,TB,PIT,0,NFC-SOUTH,AFC-NORTH,59,1,10,1,short left,0,Regular
4,2014,9,20,4,935,TB,PIT,0,NFC-SOUTH,AFC-NORTH,59,2,10,1,deep middle,41,Regular
4,2014,9,20,4,915,TB,PIT,0,NFC-SOUTH,AFC-NORTH,55,2,5,1,short left,0,Regular
4,2014,9,20,4,912,TB,PIT,0,NFC-SOUTH,AFC-NORTH,55,3,5,1,short left,5,Regular
4,2014,9,1,1,4500,JAX,SD,0,AFC-SOUTH,AFC-WEST,13,1,10,1,short left,0,Regular
