week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
10,2015,11,17,4,1509,TB,DAL,1,NFC-SOUTH,NFC-EAST,2,2,8,1,short right,10,Regular
10,2015,11,17,4,1471,TB,DAL,1,NFC-SOUTH,NFC-EAST,13,1,10,1,short left,25,Regular
10,2015,11,17,4,1426,TB,DAL,1,NFC-SOUTH,NFC-EAST,29,1,20,1,short right,26,Regular
10,2015,11,17,4,1382,TB,DAL,1,NFC-SOUTH,NFC-EAST,67,1,10,1,short left,7,Regular
10,2015,11,17,4,1339,TB,DAL,1,NFC-SOUTH,NFC-EAST,74,2,3,0,left guard,6,Regular
10,2015,11,17,4,1301,TB,DAL,1,NFC-SOUTH,NFC-EAST,81,1,10,0,right tackle,3,Regular
10,2015,11,18,4,1242,DAL,TB,0,NFC-EAST,NFC-SOUTH,50,1,10,0,right guard,-7,Regular
10,2015,11,18,4,1199,DAL,TB,0,NFC-EAST,NFC-SOUTH,12,2,17,1,deep left,16,Regular
10,2015,11,18,4,1153,DAL,TB,0,NFC-EAST,NFC-SOUTH,10,3,1,1,short left,0,Regular
10,2015,11,19,4,1134,TB,DAL,1,NFC-SOUTH,NFC-EAST,44,1,10,0,right guard,4,Regular
10,2015,11,19,4,1096,TB,DAL,1,NFC-SOUTH,NFC-EAST,58,2,6,1,short right,11,Regular
10,2015,11,19,4,1057,TB,DAL,1,NFC-SOUTH,NFC-EAST,70,1,10,1,short left,3,Regular
10,2015,11,19,4,1030,TB,DAL,1,NFC-SOUTH,NFC-EAST,73,2,7,1,deep middle,17,Regular
10,2015,11,19,4,1020,TB,DAL,1,NFC-SOUTH,NFC-EAST,92,1,10,1,short right,6,Regular
10,2015,11,19,4,983,TB,DAL,1,NFC-SOUTH,NFC-EAST,98,2,4,0,left guard,5,Regular
10,2015,11,19,4,978,TB,DAL,1,NFC-SOUTH,NFC-EAST,55,1,5,0,left guard,1,Regular
10,2015,11,19,4,973,TB,DAL,1,NFC-SOUTH,NFC-EAST,66,2,4,1,short left,0,Regular
10,2015,11,19,4,959,TB,DAL,1,NFC-SOUTH,NFC-EAST,99,1,1,0,left tackle,1,Regular
10,2015,11,20,4,943,DAL,TB,0,NFC-EAST,NFC-SOUTH,39,1,10,1,short middle,11,Regular
10,2015,11,1,1,4495,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,8,1,10,1,short left,0,Regular
10,2015,11,1,1,4448,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,10,3,8,1,short right,0,Regular
10,2015,11,2,1,4431,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,31,1,10,0,left tackle,8,Regular
10,2015,11,2,1,4398,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,40,2,2,0,center,3,Regular
10,2015,11,2,1,4361,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,43,1,10,1,deep middle,20,Regular
10,2015,11,2,1,4327,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,74,1,10,1,short middle,8,Regular
10,2015,11,2,1,4283,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,83,2,2,0,center,0,Regular
10,2015,11,2,1,4210,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,78,3,7,1,short right,10,Regular
10,2015,11,2,1,4168,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,89,1,10,0,center,3,Regular
10,2015,11,2,1,4123,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,92,2,7,0,left guard,16,Regular
10,2015,11,3,1,4110,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,10,1,10,0,right guard,-1,Regular
10,2015,11,3,1,4070,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,9,2,11,0,left tackle,-1,Regular
10,2015,11,3,1,4026,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,8,3,12,1,short left,21,Regular
10,2015,11,3,1,3983,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,31,1,10,1,short left,0,Regular
10,2015,11,3,1,3977,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,31,2,10,0,left tackle,5,Regular
10,2015,11,3,1,3977,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,37,3,5,0,Scrambles,9,Regular
10,2015,11,3,1,3944,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,56,1,10,0,right tackle,6,Regular
10,2015,11,3,1,3908,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,62,2,4,0,left guard,-1,Regular
10,2015,11,3,1,3864,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,61,3,5,1,short right,19,Regular
10,2015,11,3,1,3827,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,82,1,10,0,right tackle,25,Regular
10,2015,11,4,1,3818,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,13,1,10,1,short middle,14,Regular
10,2015,11,4,1,3779,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,28,1,10,1,short right,8,Regular
10,2015,11,4,1,3735,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,37,2,2,0,Scrambles,4,Regular
10,2015,11,4,1,3703,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,41,1,10,1,deep middle,27,Regular
10,2015,11,4,1,3658,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,74,1,15,0,left tackle,-1,Regular
10,2015,11,4,1,3613,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,73,2,16,1,deep middle,19,Regular
10,2015,11,4,2,3600,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,94,1,10,1,short right,3,Regular
10,2015,11,4,2,3548,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,53,2,2,1,short left,5,Regular
10,2015,11,4,2,3497,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,99,1,1,1,short left,1,Regular
10,2015,11,5,2,3488,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,11,1,10,0,left guard,1,Regular
10,2015,11,5,2,3454,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,13,2,9,1,short right,5,Regular
10,2015,11,5,2,3409,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,18,3,4,1,short left,14,Regular
10,2015,11,5,2,3372,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,33,1,10,1,short right,14,Regular
10,2015,11,5,2,3329,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,58,1,10,1,short right,15,Regular
10,2015,11,5,2,3289,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,74,1,10,0,left tackle,-1,Regular
10,2015,11,5,2,3233,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,68,2,16,0,center,5,Regular
10,2015,11,5,2,3189,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,73,3,11,1,short right,6,Regular
10,2015,11,6,2,3165,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,13,1,10,0,left guard,5,Regular
10,2015,11,6,2,3130,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,18,2,5,0,left tackle,4,Regular
10,2015,11,6,2,3112,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,22,3,1,0,center,2,Regular
10,2015,11,6,2,3076,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,25,1,10,1,deep left,17,Regular
10,2015,11,6,2,3043,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,43,1,10,1,deep middle,0,Regular
10,2015,11,6,2,3037,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,43,2,10,0,right tackle,2,Regular
10,2015,11,6,2,2993,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,54,3,8,1,Sack,-10,Regular
10,2015,11,7,2,2944,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,4,1,10,1,short right,16,Regular
10,2015,11,7,2,2901,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,21,1,10,0,left guard,-2,Regular
10,2015,11,7,2,2862,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,19,2,12,0,Scrambles,10,Regular
10,2015,11,7,2,2820,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,30,3,2,0,right guard,1,Regular
10,2015,11,8,2,2759,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,6,1,10,0,center,3,Regular
10,2015,11,8,2,2727,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,9,2,7,0,left guard,-5,Regular
10,2015,11,8,2,2721,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,4,3,12,1,short right,-6,Regular
10,2015,11,9,2,2704,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,54,1,10,1,deep right,0,Regular
10,2015,11,10,3,2694,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,3,1,10,0,left tackle,4,Regular
10,2015,11,10,3,2661,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,7,2,6,0,left guard,5,Regular
10,2015,11,10,3,2619,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,13,3,1,0,right tackle,2,Regular
10,2015,11,10,3,2581,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,15,1,10,1,Sack,-7,Regular
10,2015,11,10,3,2532,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,7,2,17,1,Sack,-1,Regular
10,2015,11,10,3,2499,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,6,3,18,1,Sack,-6,Regular
10,2015,11,11,3,2451,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,22,1,10,1,short right,8,Regular
10,2015,11,11,3,2414,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,31,2,2,0,center,4,Regular
10,2015,11,11,3,2379,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,36,1,10,0,left tackle,0,Regular
10,2015,11,11,3,2345,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,36,2,10,0,center,-2,Regular
10,2015,11,12,3,2297,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,37,1,10,0,left tackle,-2,Regular
10,2015,11,12,3,2258,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,35,2,12,1,short left,8,Regular
10,2015,11,12,3,2217,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,43,3,4,1,short left,6,Regular
10,2015,11,12,3,2185,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,59,1,10,0,right tackle,1,Regular
10,2015,11,12,3,2142,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,60,2,9,1,short left,0,Regular
10,2015,11,12,3,2135,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,60,3,9,1,deep left,0,Regular
10,2015,11,13,3,2124,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,3,1,10,1,short left,5,Regular
10,2015,11,13,3,2095,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,8,2,5,0,left tackle,4,Regular
10,2015,11,13,3,2055,TEN,CAR,1,AFC-SOUTH,NFC-SOUTH,13,3,1,1,short left,0,Regular
10,2015,11,14,3,2036,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,61,1,10,1,short left,14,Regular
10,2015,11,14,3,2001,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,76,1,10,1,deep left,0,Regular
10,2015,11,14,3,1995,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,76,2,10,1,short right,12,Regular
10,2015,11,14,3,1977,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,90,1,10,0,left tackle,4,Regular
10,2015,11,14,3,1913,CAR,TEN,0,NFC-SOUTH,AFC-SOUTH,78,2,21,1,Sack,-9,Regular
